Brand,Model,Price,Kms_driven,Fuel_type,Transmission,Ownership,Rating,State
2017 Honda WR-V,1.2L I-VTEC VX MT,₹5.48 lakh,33.24k km,Petrol,Manual,1st owner,CARS24 Assured,"Kandivali, Mumbai"
2013 Maruti Ertiga,VDI,₹6.75 lakh,83.25k km,Diesel,Manual,1st owner,Verified Dealer,"Lekha Nagar, Nashik"
2015 Honda City,1.5L I-DTEC V,₹3.10 lakh,1.9L km,Diesel,Manual,1st owner,Verified Owner,Om Nagar Colony Mathura
2016 Hyundai Grand i10,,₹3.25 lakh,47.12k km,Petrol,Manual,1st owner,Verified Owner,Hanumaan Nagar Allampatti
2020 Renault TRIBER,RXZ AMT,₹5.25 lakh,24.59k km,Petrol,Auto,2nd owner,CARS24 Assured,"Vaishali, Ghaziabad"
2017 Hyundai Creta,S 1.4 DIESEL,₹7.06 lakh,1.2L km,Diesel,Manual,1st owner,CARS24 Assured,"Nexus Vijaya Mall, Vadapalani"
2019 Tata NEXON,XZ PETROL,₹7.00 lakh,72.77k km,Petrol,Manual,1st owner,Verified Owner,Kulathoor Thiruvananthapuram
2015 Honda City,1.5L I-DTEC V,₹4.28 lakh,1.5L km,Diesel,Manual,2nd owner,Verified Owner,Hanuman Nagar Belagavi Karnataka
2015 Hyundai Elite i20,,₹2.83 lakh,72.99k km,Petrol,Manual,3rd owner,Verified Owner,Damodarpur Dhanbad Jharkhand
2016 Volkswagen Ameo,,₹4.74 lakh,28.31k km,Petrol,Manual,2nd owner,CARS24 Assured,"GT World Mall, Bengaluru"
2016 Hyundai Grand i10,ASTA AT 1.2 KAPPA VTVT,₹4.14 lakh,75.51k km,CNG,Auto,2nd owner,CARS24 Assured,"Karnavati Club, Ahmedabad"
2017 Renault Kwid,CLIMBER 1.0 AMT,₹2.90 lakh,66.04k km,Petrol,Auto,3rd owner,CARS24 Assured,"Nexus Vijaya Mall, Vadapalani"
2020 Maruti New Wagon-R,,₹3.76 lakh,47.44k km,Petrol,Manual,2nd owner,Verified Owner,Namnakala Ambikapur
